  PID  %CPU COMM
 1575   0.0 /System/Library/CoreServices/PeopleViewService.app/Contents/PlugIns/PeopleWidget_macOSExtension.appex/Contents/MacOS/PeopleWidget_macOSExtension
 1576   0.0 /System/Applications/Calendar.app/Contents/PlugIns/CalendarWidgetExtension.appex/Contents/MacOS/CalendarWidgetExtension
 1611   0.0 /usr/sbin/distnoted
 1634   0.0 /Library/Application Support/Adobe/Adobe Desktop Common/ADS/Adobe Desktop Service.app/Contents/MacOS/Adobe Desktop Service
 1646   0.0 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud Helper.app/Contents/MacOS/Creative Cloud Helper
 1658   0.0 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/MacOS/Core Sync
 1709   0.0 /usr/sbin/systemstats
 1731   0.0 /usr/sbin/distnoted
 1761   0.0 /System/Library/CoreServices/CrashReporterSupportHelper
 1824   0.0 /System/Library/PrivateFrameworks/People.framework/peopled
 1830   0.0 /usr/libexec/tipsd
 1857   0.0 /usr/sbin/distnoted
 1881   0.0 /System/Cryptexes/App/usr/libexec/PasswordBreachAgent
 4090   0.0 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
 6356   0.0 /usr/bin/ssh-agent
 6745   0.0 /System/Library/ExtensionKit/Extensions/TGOnDeviceInferenceProviderService.appex/Contents/MacOS/TGOnDeviceInferenceProviderService
 6746   0.0 /usr/sbin/distnoted
 8680   0.0 /Applications/CuaDriver.app/Contents/MacOS/cua-driver
11306   0.0 /Applications/Cline.app/Contents/MacOS/code-sidecar
11931   0.3 /usr/libexec/trustd
11974   0.0 /usr/sbin/cfprefsd
11983   0.0 /usr/libexec/containermanagerd
12007   0.0 /usr/libexec/secd
12032   0.0 /usr/libexec/nsurlsessiond
12219   0.0 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
12665   0.0 /usr/libexec/trustd
12803   0.0 /System/Library/CoreServices/audioaccessoryd
12835   0.0 /usr/libexec/gamepolicyd
12852   0.0 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
12866   0.0 /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
12928   0.0 /usr/sbin/WirelessRadioManagerd
13419   0.0 /System/Library/PrivateFrameworks/ScreenTimeCore.framework/Versions/A/ScreenTimeAgent
13433   1.8 /Applications/Firefox.app/Contents/MacOS/firefox
13437   0.0 /Applications/Firefox.app/Contents/MacOS/crashhelper
13440   0.0 /Applications/Firefox.app/Contents/MacOS/gpu-helper.app/Contents/MacOS/Firefox GPU Helper
13442   0.0 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container
13444   0.0 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container
13445   0.0 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container
13449   0.0 /System/Library/PrivateFrameworks/SafariPlatformSupport.framework/Versions/A/XPCServices/com.apple.SafariPlatformSupport.Helper.xpc/Contents/MacOS/com.apple.SafariPlatformSupport.Helper
13450   0.0 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container
13456   0.0 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container
13458   1.7 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container
13459   0.0 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container
13495   0.0 /System/Library/PrivateFrameworks/HearingCore.framework/heard
13509   1.4 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container
13511   0.0 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container
13525   0.0 /usr/libexec/audioanalyticsd
13528   0.0 /usr/libexec/rtcreportingd
14028   0.0 node
14107   0.0 /Users/jagatranvo/.nvm/versions/node/v23.5.0/lib/node_modules/@openai/codex/node_modules/@openai/codex-darwin-arm64/vendor/aarch64-apple-darwin/bin/codex
14154   0.0 /Applications/ChatGPT.app/Contents/Resources/cua_node/bin/node_repl
14155   0.0 /Users/jagatranvo/.local/bin/cua-driver
15785   0.0 /Users/jagatranvo/.nvm/versions/node/v23.5.0/lib/node_modules/@openai/codex/node_modules/@openai/codex-darwin-arm64/vendor/aarch64-apple-darwin/bin/codex-code-mode-host
16048   0.0 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
16051   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.83/Helpers/chrome_crashpad_handler
16056   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.83/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
16057   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.83/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
16058   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.83/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
16070   0.0 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.83/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
17485   0.0 /usr/libexec/SidecarRelay
18901   0.0 /Users/jagatranvo/.nvm/versions/node/v23.5.0/bin/node
19435   0.0 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/com.apple.CodeSigningHelper.xpc/Contents/MacOS/com.apple.CodeSigningHelper
21974   2.8 /Applications/Firefox.app/Contents/MacOS/plugin-container.app/Contents/MacOS/plugin-container
22640   0.0 /Users/jagatranvo/.nvm/versions/node/v23.5.0/bin/node
